MOVIES,YEAR,GENRE,RATING,STARS,VOTES,RunTime,Gross
Extremely Loud & Incredibly Close,2011,"
Adventure, Drama, Mystery            ",6.9,"
    Director:
Stephen Daldry
| 
    Stars:
Thomas Horn, 
Tom Hanks, 
Sandra Bullock, 
Max von Sydow
","99,165",129.0,31.85
Red Riding Hood,2011,"
Fantasy, Horror, Mystery            ",5.5,"
    Director:
Catherine Hardwicke
| 
    Stars:
Amanda Seyfried, 
Lukas Haas, 
Gary Oldman, 
Billy Burke
","109,473",100.0,37.66
Get Rich or Die Tryin',2005,"
Biography, Crime, Drama            ",5.4,"
    Director:
Jim Sheridan
| 
    Stars:
50 Cent, 
Joy Bryant, 
Adewale Akinnuoye-Agbaje, 
Omar Benson Miller
","45,092",117.0,30.98
Hit and Run,2012,"
Action, Adventure, Comedy            ",6.1,"
    Directors:
David Palmer, 
Dax Shepard
| 
    Stars:
Dax Shepard, 
Kristen Bell, 
Bradley Cooper, 
Kristin Chenoweth
","35,252",100.0,13.75
Duck Butter,2018,"
Comedy, Drama, Romance            ",5.3,"
    Director:
Miguel Arteta
| 
    Stars:
Alia Shawkat, 
Drew Langer, 
Marc Maron, 
Mark Duplass
","3,531",93.0,0.01
Liu lang di qiu,2019,"
Action, Adventure, Sci-Fi            ",6.0,"
    Director:
Frant Gwo
| 
    Stars:
Jing Wu, 
Chuxiao Qu, 
Guangjie Li, 
Man-Tat Ng
","28,264",125.0,5.88
Philomena,2013,"
Biography, Comedy, Drama            ",7.6,"
    Director:
Stephen Frears
| 
    Stars:
Judi Dench, 
Steve Coogan, 
Sophie Kennedy Clark, 
Mare Winningham
","96,244",98.0,37.71
Alvin and the Chipmunks: The Squeakquel,2009,"
Animation, Adventure, Comedy            ",4.5,"
    Director:
Betty Thomas
| 
    Stars:
Jason Lee, 
Zachary Levi, 
David Cross, 
Justin Long
","45,491",88.0,219.61
In the Name of the King: A Dungeon Siege Tale,2007,"
Action, Adventure, Fantasy            ",3.8,"
    Director:
Uwe Boll
| 
    Stars:
Jason Statham, 
Ron Perlman, 
Ray Liotta, 
Leelee Sobieski
","46,327",127.0,4.54
The Little Mermaid,2018,"
Adventure, Drama, Fantasy            ",4.3,"
    Directors:
Blake Harris, 
Chris Bouchard
| 
    Stars:
William Moseley, 
Poppy Drayton, 
Loreto Peralta, 
Armando Gutierrez
","8,546",85.0,7.15
Miss Bala,2019,"
Action, Crime, Drama            ",5.8,"
    Director:
Catherine Hardwicke
| 
    Stars:
Gina Rodriguez, 
Thomas Dekker, 
Vivian Chan, 
Barbarella Pardo
","10,048",104.0,15.01
John Dies at the End,2012,"
Comedy, Fantasy, Horror            ",6.4,"
    Director:
Don Coscarelli
| 
    Stars:
Chase Williamson, 
Rob Mayes, 
Paul Giamatti, 
Clancy Brown
","37,007",99.0,0.14
Kaguya-hime no monogatari,2013,"
Animation, Adventure, Drama            ",8.0,"
    Director:
Isao Takahata
| 
    Stars:
Chloë Grace Moretz, 
James Caan, 
Mary Steenburgen, 
James Marsden
","41,510",137.0,1.51
Dumbo,1941,"
Animation, Adventure, Drama            ",7.2,"
    Directors:
Samuel Armstrong, 
Norman Ferguson, 
Wilfred Jackson, 
Jack Kinney, 
Bill Roberts, 
Ben Sharpsteen, 
John Elliotte
| 
    Stars:
Sterling Holloway, 
Edward Brophy, 
Herman Bing, 
Mel Blanc
","124,409",64.0,1.6
Le Petit Prince,2015,"
Animation, Adventure, Drama            ",7.7,"
    Director:
Mark Osborne
| 
    Stars:
Jeff Bridges, 
Mackenzie Foy, 
Rachel McAdams, 
Marion Cotillard
","58,668",108.0,1.34
Tangerine,2015,"
Comedy, Crime, Drama            ",7.1,"
    Director:
Sean Baker
| 
    Stars:
Kitana Kiki Rodriguez, 
Mya Taylor, 
Karren Karagulian, 
Mickey O'Hagan
","28,651",88.0,0.7
A Man Apart,2003,"
Action, Crime, Drama            ",6.1,"
    Director:
F. Gary Gray
| 
    Stars:
Vin Diesel, 
Timothy Olyphant, 
Larenz Tate, 
Geno Silva
","46,040",109.0,26.18
Romeo & Juliet,2013,"
Drama, Romance            ",5.8,"
    Director:
Carlo Carlei
| 
    Stars:
Hailee Steinfeld, 
Douglas Booth, 
Damian Lewis, 
Laura Morante
","11,411",118.0,1.16
Mongol,2007,"
Action, Biography, Drama            ",7.2,"
    Director:
Sergei Bodrov
| 
    Stars:
Tadanobu Asano, 
Amadu Mamadakov, 
Khulan Chuluun, 
Honglei Sun
","45,408",126.0,5.7
The Gunman,2015,"
Action, Crime, Thriller            ",5.8,"
    Director:
Pierre Morel
| 
    Stars:
Sean Penn, 
Idris Elba, 
Jasmine Trinca, 
Javier Bardem
","39,993",115.0,10.64
Yip Man 3,2015,"
Action, Biography, Drama            ",7.1,"
    Director:
Wilson Yip
| 
    Stars:
Donnie Yen, 
Lynn Xiong, 
Jin Zhang, 
Mike Tyson
","51,648",105.0,2.68
Mugen no jûnin,2017,"
Action, Drama, Fantasy            ",6.8,"
    Director:
Takashi Miike
| 
    Stars:
Takuya Kimura, 
Hana Sugisaki, 
Sôta Fukushi, 
Hayato Ichihara
","16,248",140.0,0.15
Kal Hee,1991,"
Animation, Drama, Romance            ",7.6,"
    Director:
Isao Takahata
| 
    Stars:
Miki Imai, 
Toshirô Yanagiba, 
Yoko Honna, 
Mayumi Izuka
","28,969",118.0,0.45
Kahaani,2012,"
Mystery, Thriller            ",8.1,"
    Director:
Sujoy Ghosh
| 
    Stars:
Vidya Balan, 
Parambrata Chattopadhyay, 
Indraneil Sengupta, 
Nawazuddin Siddiqui
","59,675",122.0,1.04
Arbitrage,2012,"
Drama, Thriller            ",6.6,"
    Director:
Nicholas Jarecki
| 
    Stars:
Richard Gere, 
Susan Sarandon, 
Brit Marling, 
Tim Roth
","51,051",107.0,7.92
Premium Rush,2012,"
Action, Crime, Thriller            ",6.5,"
    Director:
David Koepp
| 
    Stars:
Joseph Gordon-Levitt, 
Michael Shannon, 
Dania Ramirez, 
Sean Kennedy
","111,533",91.0,20.28
Gedo senki,2006,"
Animation, Adventure, Fantasy            ",6.4,"
    Director:
Gorô Miyazaki
| 
    Stars:
Timothy Dalton, 
Willem Dafoe, 
Mariska Hargitay, 
Jun'ichi Okada
","37,082",115.0,0.05
The Painted Veil,2006,"
Drama, Romance            ",7.5,"
    Director:
John Curran
| 
    Stars:
Naomi Watts, 
Edward Norton, 
Liev Schreiber, 
Catherine An
","90,212",125.0,8.06
Beirut,2018,"
Action, Crime, Drama            ",6.5,"
    Director:
Brad Anderson
| 
    Stars:
Jon Hamm, 
Jay Potter, 
Khalid Benchagra, 
Ania Josse
","20,085",110.0,5.02
An Interview with God,2018,"
Drama, Mystery            ",5.8,"
    Director:
Perry Lang
| 
    Stars:
David Strathairn, 
Brenton Thwaites, 
Yael Grobglas, 
Charlbi Dean
","3,470",97.0,1.25
Into the Forest,2015,"
Drama, Thriller            ",5.8,"
    Director:
Patricia Rozema
| 
    Stars:
Elliot Page, 
Evan Rachel Wood, 
Max Minghella, 
Callum Keith Rennie
","19,853",101.0,0.01
Smurfs: The Lost Village,2017,"
Animation, Adventure, Comedy            ",6.0,"
    Director:
Kelly Asbury
| 
    Stars:
Demi Lovato, 
Rainn Wilson, 
Joe Manganiello, 
Jack McBrayer
","19,549",90.0,45.02
Kon-Tiki,2012,"
Adventure, Biography, Drama            ",7.2,"
    Directors:
Joachim Rønning, 
Espen Sandberg
| 
    Stars:
Pål Sverre Hagen, 
Anders Baasmo Christiansen, 
Gustaf Skarsgård, 
Odd-Magnus Williamson
","47,166",118.0,1.52
Under the Shadow,2016,"
Drama, Fantasy, Horror            ",6.9,"
    Director:
Babak Anvari
| 
    Stars:
Narges Rashidi, 
Avin Manshadi, 
Bobby Naderi, 
Arash Marandi
","25,632",84.0,0.03
A Man for All Seasons,1966,"
Biography, Drama, History            ",7.7,"
    Director:
Fred Zinnemann
| 
    Stars:
Paul Scofield, 
Wendy Hiller, 
Robert Shaw, 
Leo McKern
","32,729",120.0,28.35
Million Dollar Arm,2014,"
Biography, Drama, Sport            ",7.0,"
    Director:
Craig Gillespie
| 
    Stars:
Jon Hamm, 
Aasif Mandvi, 
Alan Arkin, 
Suraj Sharma
","44,546",124.0,36.45
The Dawn Wall,2017,"
Documentary, Biography, Sport            ",8.1,"
    Directors:
Josh Lowell, 
Peter Mortimer
| 
    Stars:
John Branch, 
Tommy Caldwell, 
Kevin Jorgeson
","16,824",100.0,1.08
Big Game,2014,"
Action, Adventure            ",5.4,"
    Director:
Jalmari Helander
| 
    Stars:
Samuel L. Jackson, 
Onni Tommila, 
Ray Stevenson, 
Victor Garber
","31,914",90.0,0.02
The Bookshop,2017,"
Drama            ",6.5,"
    Director:
Isabel Coixet
| 
    Stars:
Emily Mortimer, 
Bill Nighy, 
Hunter Tremayne, 
Honor Kneafsey
","13,939",113.0,1.33
D-Tox,2002,"
Crime, Thriller            ",5.3,"
    Director:
Jim Gillespie
| 
    Stars:
Sylvester Stallone, 
Charles S. Dutton, 
Polly Walker, 
Kris Kristofferson
","25,639",96.0,0.08
A United Kingdom,2016,"
Biography, Drama, History            ",6.9,"
    Director:
Amma Asante
| 
    Stars:
David Oyelowo, 
Rosamund Pike, 
Tom Felton, 
Jack Davenport
","15,365",111.0,3.9
Naissance des pieuvres,2007,"
Drama, Romance            ",6.7,"
    Director:
Céline Sciamma
| 
    Stars:
Pauline Acquart, 
Louise Blachère, 
Adèle Haenel, 
Warren Jacquin
","10,813",85.0,0.08
Jue di tao wang,2016,"
Action, Adventure, Comedy            ",5.7,"
    Director:
Renny Harlin
| 
    Stars:
Jackie Chan, 
Johnny Knoxville, 
Bingbing Fan, 
Eric Tsang
","19,872",107.0,0.0
The Hurricane Heist,2018,"
Action, Adventure, Crime            ",5.1,"
    Director:
Rob Cohen
| 
    Stars:
Toby Kebbell, 
Maggie Grace, 
Ryan Kwanten, 
Ralph Ineson
","19,776",103.0,6.12
The Night Before,2015,"
Comedy, Fantasy            ",6.4,"
    Director:
Jonathan Levine
| 
    Stars:
Joseph Gordon-Levitt, 
Seth Rogen, 
Jillian Bell, 
Lizzy Caplan
","68,503",101.0,43.04
Laggies,2014,"
Comedy, Drama, Romance            ",6.4,"
    Director:
Lynn Shelton
| 
    Stars:
Keira Knightley, 
Chloë Grace Moretz, 
Sam Rockwell, 
Mark Webber
","42,740",99.0,0.44
Mark Felt: The Man Who Brought Down the White House,2017,"
Biography, Drama, History            ",6.4,"
    Director:
Peter Landesman
| 
    Stars:
Liam Neeson, 
Diane Lane, 
Marton Csokas, 
Tony Goldwyn
","12,491",103.0,0.77
Forces spéciales,2011,"
Action, Drama, War            ",6.4,"
    Director:
Stéphane Rybojad
| 
    Stars:
Diane Kruger, 
Djimon Hounsou, 
Benoît Magimel, 
Denis Ménochet
","18,275",109.0,0.01
Death Warrant,1990,"
Action, Crime, Mystery            ",5.7,"
    Director:
Deran Sarafian
| 
    Stars:
Jean-Claude Van Damme, 
Robert Guillaume, 
Cynthia Gibb, 
George Dickerson
","17,926",89.0,16.85
Beyond a Reasonable Doubt,2009,"
Crime, Drama, Mystery            ",5.9,"
    Director:
Peter Hyams
| 
    Stars:
Jesse Metcalfe, 
Amber Tamblyn, 
Michael Douglas, 
Joel David Moore
","12,570",106.0,0.03
The Warrior's Way,2010,"
Action, Fantasy, Western            ",6.3,"
    Director:
Sngmoo Lee
| 
    Stars:
Jang Dong-Gun, 
Kate Bosworth, 
Geoffrey Rush, 
Danny Huston
","25,758",100.0,5.66
King Cobra,2016,"
Crime, Drama            ",5.6,"
    Director:
Justin Kelly
| 
    Stars:
Garrett Clayton, 
Christian Slater, 
Molly Ringwald, 
James Kelley
","8,572",91.0,0.03
Mirai no Mirai,2018,"
Animation, Adventure, Drama            ",7.0,"
    Director:
Mamoru Hosoda
| 
    Stars:
Rebecca Hall, 
Daniel Dae Kim, 
John Cho, 
Crispin Freeman
","13,651",98.0,0.81
Skjelvet,2018,"
Action, Drama, Thriller            ",6.2,"
    Director:
John Andreas Andersen
| 
    Stars:
Kristoffer Joner, 
Ane Dahl Torp, 
Edith Haagenrud-Sande, 
Kathrine Thorborg Johansen
","10,622",106.0,0.01
Drinking Buddies,2013,"
Comedy, Drama, Romance            ",6.1,"
    Director:
Joe Swanberg
| 
    Stars:
Olivia Wilde, 
Jake Johnson, 
Anna Kendrick, 
Ron Livingston
","56,754",90.0,0.34
Ala Vaikunthapurramuloo,2020,"
Action, Comedy, Drama            ",7.3,"
    Director:
Trivikram Srinivas
| 
    Stars:
Allu Arjun, 
Pooja Hegde, 
Tabu, 
Jayaram
","10,091",163.0,4.7
Blue Jay,2016,"
Drama, Romance            ",7.3,"
    Director:
Alex Lehmann
| 
    Stars:
Mark Duplass, 
Sarah Paulson, 
Clu Gulager, 
James Andrews
","15,777",80.0,0.01
Jui kuen II,1994,"
Action, Comedy            ",7.6,"
    Directors:
Chia-Liang Liu, 
Jackie Chan
| 
    Stars:
Jackie Chan, 
Ho-Sung Pak, 
Lung Ti, 
Anita Mui
","44,060",102.0,11.55
The Last Legion,2007,"
Action, Adventure, War            ",5.4,"
    Director:
Doug Lefler
| 
    Stars:
Colin Firth, 
Ben Kingsley, 
Aishwarya Rai Bachchan, 
Peter Mullan
","34,726",101.0,5.93
Thumbelina,1994,"
Animation, Family, Fantasy            ",6.4,"
    Directors:
Don Bluth, 
Gary Goldman
| 
    Stars:
Jodi Benson, 
Gary Imhoff, 
Gino Conforti, 
Barbara Cook
","16,055",86.0,11.37
Other People,2016,"
Comedy, Drama            ",6.8,"
    Director:
Chris Kelly
| 
    Stars:
Jesse Plemons, 
Molly Shannon, 
Bradley Whitford, 
Maude Apatow
","10,487",97.0,0.09
Celeste & Jesse Forever,2012,"
Comedy, Drama, Romance            ",6.6,"
    Director:
Lee Toland Krieger
| 
    Stars:
Rashida Jones, 
Andy Samberg, 
Elijah Wood, 
Emma Roberts
","30,382",92.0,3.09
Racing Stripes,2005,"
Adventure, Comedy, Drama            ",5.2,"
    Director:
Frederik Du Chau
| 
    Stars:
Frankie Muniz, 
David Spade, 
Snoop Dogg, 
Bruce Greenwood
","16,506",102.0,49.77
Middle School: The Worst Years of My Life,2016,"
Animation, Comedy, Family            ",6.1,"
    Director:
Steve Carr
| 
    Stars:
Griffin Gluck, 
Lauren Graham, 
Alexa Nisenson, 
Andrew Daly
","8,256",92.0,19.99
People Like Us,2012,"
Comedy, Drama            ",7.1,"
    Director:
Alex Kurtzman
| 
    Stars:
Chris Pine, 
Elizabeth Banks, 
Michelle Pfeiffer, 
Olivia Wilde
","42,162",114.0,12.41
Dilwale,2015,"
Action, Comedy, Drama            ",5.1,"
    Director:
Rohit Shetty
| 
    Stars:
Shah Rukh Khan, 
Kajol, 
Varun Dhawan, 
Kriti Sanon
","32,707",158.0,4.83
The ABCs of Death,2012,"
Comedy, Horror            ",4.7,"
    Directors:
Kaare Andrews, 
Angela Bettis, 
Hélène Cattet, 
Ernesto Díaz Espinoza, 
Jason Eisener, 
Bruno Forzani, 
Adrian Garcia Bogliano, 
Xavier Gens, 
Jorge Michel Grau, 
Lee Hardcastle, 
Noboru Iguchi, 
Thomas Cappelen Malling, 
Anders Morgenthaler, 
Yoshihiro Nishimura, 
Banjong Pisanthanakun, 
Simon Rumley, 
Marcel Sarmiento, 
Jon Schnepp, 
Srdjan Spasojevic, 
Timo Tjahjanto, 
Andrew Traucki, 
Nacho Vigalondo, 
Jake West, 
Ti West, 
Ben Wheatley, 
Adam Wingard, 
Yudai Yamaguchi
| 
    Stars:
Ingrid Bolsø Berdal, 
Iván González, 
Kyra Zagorsky, 
Lucy Clements
","18,559",129.0,0.02
The Breadwinner,2017,"
Animation, Drama, Family            ",7.7,"
    Director:
Nora Twomey
| 
    Stars:
Saara Chaudry, 
Soma Chhaya, 
Noorin Gulamgaus, 
Laara Sadiq
","22,504",94.0,0.31
Acrimony,2018,"
Thriller            ",5.8,"
    Director:
Tyler Perry
| 
    Stars:
Taraji P. Henson, 
Lyriq Bent, 
Crystle Stewart, 
Jazmyn Simon
","8,263",120.0,43.55
LBJ,2016,"
Biography, Drama, History            ",6.5,"
    Director:
Rob Reiner
| 
    Stars:
Woody Harrelson, 
Michael Stahl-David, 
Richard Jenkins, 
Jennifer Jason Leigh
","6,303",98.0,2.47
The Bag Man,2014,"
Action, Crime, Drama            ",5.2,"
    Director:
David Grovic
| 
    Stars:
John Cusack, 
Rebecca Da Costa, 
Robert De Niro, 
Crispin Glover
","16,620",108.0,0.05
Viceroy's House,2017,"
Biography, Drama, History            ",6.7,"
    Director:
Gurinder Chadha
| 
    Stars:
Hugh Bonneville, 
Gillian Anderson, 
Manish Dayal, 
Huma Qureshi
","7,296",106.0,1.11
Joshua,2007,"
Drama, Horror, Thriller            ",5.9,"
    Director:
George Ratliff
| 
    Stars:
Sam Rockwell, 
Vera Farmiga, 
Jacob Kogan, 
Celia Weston
","12,266",106.0,0.48
The Perfect Host,2010,"
Comedy, Crime, Thriller            ",6.8,"
    Director:
Nick Tomnay
| 
    Stars:
David Hyde Pierce, 
Clayne Crawford, 
Nathaniel Parker, 
Tyrees Allen
","26,028",93.0,0.05
Te3n,2016,"
Drama, Mystery, Thriller            ",7.3,"
    Director:
Ribhu Dasgupta
| 
    Stars:
Amitabh Bachchan, 
Nawazuddin Siddiqui, 
Vidya Balan, 
Mukesh Chhabra
","12,303",136.0,0.26
Coco avant Chanel,2009,"
Biography, Drama            ",6.7,"
    Director:
Anne Fontaine
| 
    Stars:
Audrey Tautou, 
Benoît Poelvoorde, 
Alessandro Nivola, 
Marie Gillain
","39,401",105.0,6.11
Wildflower,2014,"
Drama, Thriller            ",5.3,"
    Director:
Nicholas DiBella
| 
    Stars:
Nathalia Ramos, 
Cody Longo, 
Alexa Rose Steele, 
Benjamin Ashbrook
",866,92.0,0.01
Pariah,2011,"
Drama            ",7.2,"
    Director:
Dee Rees
| 
    Stars:
Adepero Oduye, 
Kim Wayans, 
Aasha Davis, 
Pernell Walker
","6,525",86.0,0.76
Boy Meets Girl,2014,"
Comedy, Drama, Romance            ",7.1,"
    Director:
Eric Schaeffer
| 
    Stars:
Michael Welch, 
Michelle Hendley, 
Alexandra Turshen, 
Michael Galante
","4,391",95.0,0.02
Operation Avalanche,2016,"
Drama, Mystery, Thriller            ",6.1,"
    Director:
Matt Johnson
| 
    Stars:
Matt Johnson, 
Owen Williams, 
Andrew Appelle, 
Jared Raab
","6,983",94.0,0.06
Dealin' with Idiots,2013,"
Comedy            ",5.4,"
    Director:
Jeff Garlin
| 
    Stars:
Jeff Garlin, 
Steve Agee, 
Gina Gershon, 
Jami Gertz
","1,306",88.0,0.02
Contracted,2013,"
Drama, Horror, Thriller            ",5.3,"
    Director:
Eric England
| 
    Stars:
Najarra Townsend, 
Caroline Williams, 
Alice Macdonald, 
Matt Mercer
","14,668",84.0,0.0
XX,2017,"
Horror            ",4.6,"
    Directors:
Roxanne Benjamin, 
Sofìa Carrillo, 
Karyn Kusama, 
St. Vincent, 
Jovanka Vuckovic
| 
    Stars:
Natalie Brown, 
Jonathan Watton, 
Peter DaCunha, 
Peyton Kennedy
","11,394",80.0,0.03
V/H/S Viral,2014,"
Horror, Thriller            ",4.2,"
    Directors:
Justin Benson, 
Gregg Bishop, 
Todd Lincoln, 
Aaron Moorhead, 
Marcel Sarmiento, 
Nacho Vigalondo
| 
    Stars:
Patrick Lawrie, 
Emilia Ares, 
Celia K. Milius, 
Steve Berens
","15,520",81.0,0.0
Inosensu: Innocence,2004,"
Animation, Action, Drama            ",7.5,"
    Director:
Mamoru Oshii
| 
    Stars:
Akio Ôtsuka, 
Atsuko Tanaka, 
Tamio Ôki, 
Kôichi Yamadera
","37,017",100.0,1.04
Manny & Lo,1996,"
Comedy, Drama            ",6.6,"
    Director:
Lisa Krueger
| 
    Stars:
Scarlett Johansson, 
Aleksa Palladino, 
Mary Kay Place, 
Dean Silvers
","1,944",88.0,0.5
Brotherly Love,2015,"
Drama            ",6.7,"
    Director:
Jamal Hill
| 
    Stars:
Keke Palmer, 
Cory Hardrict, 
Romeo Miller, 
Eric D. Hill Jr.
","1,787",89.0,0.44
Ashby,2015,"
Comedy, Crime, Drama            ",6.4,"
    Director:
Tony McNamara
| 
    Stars:
Mickey Rourke, 
Nat Wolff, 
Emma Roberts, 
Sarah Silverman
","15,197",100.0,0.0
Results,2015,"
Comedy, Romance            ",5.4,"
    Director:
Andrew Bujalski
| 
    Stars:
Guy Pearce, 
Cobie Smulders, 
Kevin Corrigan, 
Giovanni Ribisi
","6,774",105.0,0.1
This Film Is Not Yet Rated,2006,"
Documentary            ",7.5,"
    Director:
Kirby Dick
| 
    Stars:
Kirby Dick, 
Kimberly Peirce, 
Darren Aronofsky, 
Atom Egoyan
","27,671",98.0,0.3
Mind Game,2004,"
Animation, Adventure, Comedy            ",7.8,"
    Directors:
Masaaki Yuasa, 
Kôji Morimoto
| 
    Stars:
Kôji Imada, 
Sayaka Maeda, 
Takashi Fujii, 
Seiko Takuma
","8,774",103.0,0.04
Hell and Back,2015,"
Animation, Adventure, Comedy            ",5.4,"
    Directors:
Tom Gianas, 
Ross Shuman
| 
    Stars:
Nick Swardson, 
Mila Kunis, 
Bob Odenkirk, 
T.J. Miller
","4,823",86.0,0.16
Born to Be Blue,2015,"
Biography, Drama, Music            ",6.9,"
    Director:
Robert Budreau
| 
    Stars:
Ethan Hawke, 
Carmen Ejogo, 
Callum Keith Rennie, 
Tony Nappo
","8,304",97.0,0.83
Life Itself,2014,"
Documentary, Biography            ",7.8,"
    Director:
Steve James
| 
    Stars:
Roger Ebert, 
Chaz Ebert, 
Gene Siskel, 
Martin Scorsese
","15,182",121.0,0.81
Hai Phuong,2019,"
Action, Drama, Thriller            ",6.3,"
    Director:
Le-Van Kiet
| 
    Stars:
Veronica Ngo, 
Mai Cát Vi, 
Thanh Nhien Phan, 
Pham Anh Khoa
","4,265",98.0,0.59
Our Man Flint,1966,"
Action, Adventure, Comedy            ",6.5,"
    Director:
Daniel Mann
| 
    Stars:
James Coburn, 
Lee J. Cobb, 
Gila Golan, 
Edward Mulhare
","6,205",108.0,16.0
Hagane no renkinjutsushi: Mirosu no seinaru hoshi,2011,"
Animation, Action, Adventure            ",7.0,"
    Director:
Kazuya Murata
| 
    Stars:
Vic Mignogna, 
Maxey Whitehead, 
Alexis Tipton, 
Matthew Mercer
","4,653",110.0,0.18
Won't Back Down,2012,"
Drama            ",6.5,"
    Director:
Daniel Barnz
| 
    Stars:
Viola Davis, 
Maggie Gyllenhaal, 
Holly Hunter, 
Oscar Isaac
","6,317",121.0,5.31
Mob Psycho 100,2018,"
Sci-Fi, Thriller            ",5.1,"
            
    Stars:
Ayumu Mochizuki, 
Tatsuomi Hamada, 
Atsushi Arai, 
Masayuki Deai
",462,24.0,0.12
Jinn,2014,"
Fantasy, Horror, Thriller            ",4.2,"
    Director:
Ajmal Zaheer Ahmad
| 
    Stars:
Dominic Rains, 
Ray Park, 
William Atherton, 
Faran Tahir
","4,638",97.0,0.15
Nocturama,2016,"
Drama, Thriller            ",6.4,"
    Director:
Bertrand Bonello
| 
    Stars:
Finnegan Oldfield, 
Vincent Rottiers, 
Hamza Meziani, 
Manal Issa
","4,659",130.0,0.03
Seoul Searching,2015,"
Comedy, Drama, Music            ",7.0,"
    Director:
Benson Lee
| 
    Stars:
Justin Chon, 
Jessika Van, 
In-Pyo Cha, 
Teo Yoo
","1,537",105.0,0.02
Middle of Nowhere,2012,"
Drama            ",6.4,"
    Director:
Ava DuVernay
| 
    Stars:
Emayatzy Corinealdi, 
David Oyelowo, 
Lorraine Toussaint, 
Edwina Findley
","1,713",97.0,0.08
17 filles,2011,"
Drama            ",6.0,"
    Directors:
Delphine Coulin, 
Muriel Coulin
| 
    Stars:
Louise Grinberg, 
Juliette Darche, 
Roxane Duran, 
Esther Garrel
","3,140",86.0,0.02
Adult Beginners,2014,"
Action, Comedy, Drama            ",5.6,"
    Director:
Ross Katz
| 
    Stars:
Nick Kroll, 
Rose Byrne, 
Bobby Cannavale, 
Joel McHale
","8,169",92.0,0.1
Finding Bliss,2009,"
Comedy, Romance            ",5.3,"
    Director:
Julie Davis
| 
    Stars:
Leelee Sobieski, 
Matthew Davis, 
Jamie Kennedy, 
Denise Richards
","2,442",96.0,0.01
The King and I,1999,"
Animation, Family, Fantasy            ",4.5,"
    Director:
Richard Rich
| 
    Stars:
Miranda Richardson, 
Martin Vidnovic, 
Christiane Noll, 
Ian Richardson
","3,922",87.0,11.96
All the Queen's Men,2001,"
Action, Comedy, Drama            ",4.9,"
    Director:
Stefan Ruzowitzky
| 
    Stars:
Eddie Izzard, 
Matt LeBlanc, 
Udo Kier, 
James Cosmo
","2,590",99.0,0.02
Any Day Now,2012,"
Drama            ",7.5,"
    Director:
Travis Fine
| 
    Stars:
Alan Cumming, 
Garret Dillahunt, 
Isaac Leyva, 
Frances Fisher
","6,037",98.0,0.2
Pyaar Ka Punchnama 2,2015,"
Comedy, Drama, Romance            ",7.2,"
    Director:
Luv Ranjan
| 
    Stars:
Kartik Aaryan, 
Omkar Kapoor, 
Sunny Singh Nijjar, 
Nushrat Bharucha
","14,399",137.0,0.22
Oorlogswinter,2008,"
Drama, History, War            ",7.0,"
    Director:
Martin Koolhoven
| 
    Stars:
Martijn Lakemeier, 
Jamie Campbell Bower, 
Yorick van Wageningen, 
Raymond Thiry
","12,479",103.0,0.54
The Last of Robin Hood,2013,"
Biography, Drama, Romance            ",5.7,"
    Directors:
Richard Glatzer, 
Wash Westmoreland
| 
    Stars:
John Hudson Messerall, 
Brian Bascle, 
Daniel J. Clancy, 
Kelly O'Neal
","2,131",94.0,0.27
Yoake tsugeru Rû no uta,2017,"
Animation, Adventure, Comedy            ",6.8,"
    Director:
Masaaki Yuasa
| 
    Stars:
Kanon Tani, 
Shôta Shimoda, 
Minako Kotobuki, 
Sôma Saitô
","1,991",112.0,0.11
Fed Up,2014,"
Documentary            ",7.7,"
    Director:
Stephanie Soechtig
| 
    Stars:
Michele Simon, 
Katie Couric, 
Bill Clinton, 
Michael Bloomberg
","11,714",92.0,1.54
Whitney,2018,"
Documentary, Biography, Drama            ",7.3,"
    Director:
Kevin Macdonald
| 
    Stars:
Whitney Houston, 
Ellen White, 
Michael Houston, 
Cissy Houston
","7,004",120.0,3.03
Under solen,1998,"
Drama, Romance            ",6.7,"
    Director:
Colin Nutley
| 
    Stars:
Rolf Lassgård, 
Helena Bergström, 
Johan Widerberg, 
Gunilla Röör
","2,510",130.0,0.29
Damsels in Distress,2011,"
Comedy, Drama, Romance            ",5.7,"
    Director:
Whit Stillman
| 
    Stars:
Greta Gerwig, 
Adam Brody, 
Lio Tipton, 
Megalyn Echikunwoke
","9,343",99.0,1.01
Tomorrow Is Forever,1946,"
Drama, Romance, War            ",7.4,"
    Director:
Irving Pichel
| 
    Stars:
Claudette Colbert, 
Orson Welles, 
George Brent, 
Lucile Watson
","2,456",104.0,3.25
Gap tung kei hap,2014,"
Action, Comedy, History            ",4.8,"
    Director:
Wing-Cheong Law
| 
    Stars:
Donnie Yen, 
Baoqiang Wang, 
Shengyi Huang, 
Kang Yu
","3,436",104.0,0.01
Muscle Shoals,2013,"
Documentary, Biography, History            ",7.8,"
    Director:
Greg 'Freddy' Camalier
| 
    Stars:
Rick Hall, 
Aretha Franklin, 
Keith Richards, 
Candi Staton
","3,695",111.0,0.7
The Carer,2016,"
Comedy, Drama            ",6.6,"
    Director:
János Edelényi
| 
    Stars:
Maitland Chandler, 
Ruth Posner, 
Coco König, 
Selina Cadell
","1,321",89.0,0.01
